"FloraStatus","Was","Now","Group","Family","Acronym","scientific_name","FloraOfOregonPage","WebConcept"
"Fully described","Accepted","Synonym of Sporobolus schoenoides","Monocotyledons","Poaceae","CRYSCH","Crypsis schoenoides","Volume 1, Page 383",1308
"Fully described","Accepted","Synonym of Catapodium rigidum","Monocotyledons","Poaceae","DESRIG","Desmazeria rigida","Volume 1, Page 389",1415
"Fully described","Accepted","Synonym of Dichanthelium lanuginosum","Monocotyledons","Poaceae","DICACUFAS2","Dichanthelium acuminatum ssp. fasciculatum","Volume 1, Page 390",2909
"Fully described","Accepted","Synonym of Dichanthelium scribnerianum","Monocotyledons","Poaceae","DICOLISCR2","Dichanthelium oligosanthes ssp. scribnerianum","Volume 1, Page 390",1438
"Fully described","Accepted","Synonym of Eragrostis virescens","Monocotyledons","Poaceae","ERAMEXVIR","Eragrostis mexicana ssp. virescens","Volume 1, Page 405",1711
"Fully described","Accepted","Synonym of Eragrostis pectinacea","Monocotyledons","Poaceae","ERAPECPEC","Eragrostis pectinacea var. pectinacea","Volume 1, Page 406",1718
"Fully described","Accepted","Synonym of Eragrostis pilosa","Monocotyledons","Poaceae","ERAPILPIL","Eragrostis pilosa var. pilosa","Volume 1, Page 406",4974
"Fully described","Accepted","Synonym of Hesperochloa campestris","Monocotyledons","Poaceae","FESCAM","Festuca campestris","Volume 1, Page 409",1810
"Fully described","Accepted","Synonym of Hesperochloa elmeri","Monocotyledons","Poaceae","FESELM","Festuca elmeri","Volume 1, Page 409",1798
"Fully described","Accepted","Synonym of Festuca nigrescens","Monocotyledons","Poaceae","FESRUBCOM","Festuca rubra ssp. commutata","Volume 1, Page 413",1807
"Fully described","Accepted","Synonym of Festuca rubra","Monocotyledons","Poaceae","FESRUBFAL","Festuca rubra ssp. fallax","Volume 1, Page 413",1809
"Fully described","Accepted","Synonym of Festuca rubra","Monocotyledons","Poaceae","FESRUBJUN","Festuca rubra ssp. juncea","Volume 1, Page 413",1809
"Fully described","Accepted","Synonym of Festuca rubra","Monocotyledons","Poaceae","FESRUBMED2","Festuca rubra ssp. mediana","Volume 1, Page 413",1809
"Fully described","Accepted","Synonym of Festuca rubra","Monocotyledons","Poaceae","FESRUBRUB","Festuca rubra ssp. rubra","Volume 1, Page 414",1809
"Fully described","Accepted","Synonym of Festuca rubra","Monocotyledons","Poaceae","FESRUBSEC","Festuca rubra ssp. secunda","Volume 1, Page 414",1809
"Fully described","Accepted","Synonym of Festuca saximontana var. purpusiana","Monocotyledons","Poaceae","FESSAXPUR","Festuca saximontana ssp. purpusiana","Volume 1, Page 414",4423
"Fully described","Accepted","Synonym of Hesperochloa subulata","Monocotyledons","Poaceae","FESSUB","Festuca subulata","Volume 1, Page 414",1811
"Fully described","Accepted","Synonym of Glyceria canadensis","Monocotyledons","Poaceae","GLYCANCAN","Glyceria canadensis var. canadensis","Volume 1, Page 417",4753
"Fully described","Accepted","Synonym of Glyceria grandis","Monocotyledons","Poaceae","GLYGRAGRA","Glyceria grandis var. grandis","Volume 1, Page 419",1941
"Fully described","Accepted","Synonym of Anthoxanthum occidentale","Monocotyledons","Poaceae","HIEOCC","Hierochloë occidentalis","Volume 1, Page 421",2069
"Fully described","Accepted","Synonym of Anthoxanthum nitens","Monocotyledons","Poaceae","HIEODO","Hierochloë odorata","Volume 1, Page 421",2070
"Fully described","Accepted","Synonym of Hordeum jubatum","Monocotyledons","Poaceae","HORJUBJUB","Hordeum jubatum ssp. jubatum","Volume 1, Page 423",2092
"Fully described","Accepted","Synonym of Hesperochloa kingii","Monocotyledons","Poaceae","LEUKIN","Leucopoa kingii","Volume 1, Page 426",1801
"Fully described","Accepted","Synonym of Leymus mollis","Monocotyledons","Poaceae","LEYMOLMOL","Leymus mollis ssp. mollis","Volume 1, Page 428",1537
"Fully described","Accepted","Synonym of Lolium perenne ssp. multiflorum","Monocotyledons","Poaceae","LOLMUL","Lolium multiflorum","Volume 1, Page 429",2460
"Fully described","Accepted","Synonym of Coleataenia rigidula","Monocotyledons","Poaceae","PANRIGRIG2","Panicum rigidulum ssp. rigidulum","Volume 1, Page 441",2916
"Fully described","Accepted","Misapplied to Poa wallowensis","Monocotyledons","Poaceae","POALAX2","Poa laxa","Volume 1, Page 458",14628
"Fully described","Accepted","Synonym of Poa alpigena","Monocotyledons","Poaceae","POAPRAALP","Poa pratensis ssp. alpigena","Volume 1, Page 463",14389
"Fully described","Accepted","Synonym of Lolium arundinaceum","Monocotyledons","Poaceae","SCHARU","Schedonorus arundinaceus","Volume 1, Page 475",1796
"Fully described","Accepted","Synonym of Lolium pratense","Monocotyledons","Poaceae","SCHPRA","Schedonorus pratensis","Volume 1, Page 475",1806
"Fully described","Accepted","Synonym of Deschampsia bolanderi","Monocotyledons","Poaceae","SCRBOL","Scribneria bolanderi","Volume 1, Page 476",3712
