"Group","Family","Scientific_name","Name_Status","Accepted_Name","FloraStatus","FloraPage","ConceptNum","Acronym","Scientific_name_auths"
"Dicotyledons","Amaranthaceae","Chenopodium leptophyllum var. leptophyllum","Synonym","Chenopodium leptophyllum",,,1080,"CHELEPLEP","Chenopodium leptophyllum (Moq.) S. Watson var. leptophyllum "
"Dicotyledons","Amaranthaceae","Chenopodium leptophyllum var. oblongifolium","Synonym","Chenopodium desiccatum",,,12835,"CHELEPOBL","Chenopodium leptophyllum (Moq.) S. Watson var. oblongifolium S. Watson "
"Dicotyledons","Amaranthaceae","Chenopodium nevadense","Accepted","Chenopodium nevadense","Fully described","vol2, pg77",1095,"CHENEV","Chenopodium nevadense Standl. "
"Dicotyledons","Amaranthaceae","Chenopodium pratericola","Accepted","Chenopodium pratericola","Fully described","vol2, pg77",4824,"CHEPRA","Chenopodium pratericola Rydb. "
"Dicotyledons","Amaranthaceae","Chenopodium rubrum","Accepted","Chenopodium rubrum","Fully described","vol2, pg78",14595,"CHERUB","Chenopodium rubrum L. "
"Dicotyledons","Amaranthaceae","Chenopodium rubrum var. humile","Accepted","Chenopodium rubrum var. humile","Fully described","vol2, pg78",14585,"CHERUBHUM","Chenopodium rubrum L. var. humile (Hook.) S. Watson "
"Dicotyledons","Amaranthaceae","Chenopodium rubrum var. rubrum","Accepted","Chenopodium rubrum var. rubrum","Fully described","vol2, pg78",1102,"CHERUBRUB","Chenopodium rubrum L. var. rubrum "
"Dicotyledons","Amaranthaceae","Chenopodium simplex","Accepted","Chenopodium simplex","Fully described","vol2, pg78",1075,"CHESIM","Chenopodium simplex (Torr.) Raf. "
"Dicotyledons","Amaranthaceae","Corispermum americanum","Accepted","Corispermum americanum",,,9976,"CORAME","Corispermum americanum (Nutt.) Nutt. "
"Dicotyledons","Amaranthaceae","Corispermum americanum var. americanum","Accepted","Corispermum americanum var. americanum","Fully described","vol2, pg79",1209,"CORAMEAME","Corispermum americanum (Nutt.) Nutt. var. americanum "
"Dicotyledons","Amaranthaceae","Corispermum hyssopifolium","Misapplied","Corispermum americanum var. americanum",,,1209,"CORHYS7CORAMEAME","Corispermum hyssopifolium L. "
"Dicotyledons","Amaranthaceae","Corispermum hyssopifolium","Misapplied","Corispermum pacificum",,,12682,"CORHYS7CORPAC","Corispermum hyssopifolium L. "
"Dicotyledons","Amaranthaceae","Corispermum pacificum","Accepted","Corispermum pacificum","Fully described","vol2, pg79",12682,"CORPAC","Corispermum pacificum Mosyakin "
"Dicotyledons","Amaranthaceae","Corispermum villosum","Accepted","Corispermum villosum","Fully described","vol2, pg79",12643,"CORVIL","Corispermum villosum Rydb. "
"Dicotyledons","Amaranthaceae","Eurotia lanata","Synonym","Krascheninnikovia lanata",,,1783,"EURLAN","Eurotia lanata (Pursh) Moq. "
"Dicotyledons","Amaranthaceae","Grayia spinosa","Accepted","Grayia spinosa","Fully described","vol2, pg81",558,"GRASPI","Grayia spinosa (Hook.) Moq. "
"Dicotyledons","Amaranthaceae","Kochia americana","Synonym","Neokochia americana",,,2236,"KOCAME","Kochia americana S. Watson "
"Dicotyledons","Amaranthaceae","Kochia vestita","Synonym","Neokochia americana",,,2236,"KOCVES","Kochia vestita (S. Watson) Rydb. "
"Dicotyledons","Amaranthaceae","Krascheninnikovia lanata","Accepted","Krascheninnikovia lanata","Fully described","vol2, pg82",1783,"KRALAN","Krascheninnikovia lanata (Pursh) A. Meeuse & A. Smit "
"Dicotyledons","Amaranthaceae","Micromonolepis pusilla","Accepted","Micromonolepis pusilla","Fully described","vol2, pg82",2753,"MICPUS","Micromonolepis pusilla (Torrey) Ulbrich "
"Dicotyledons","Amaranthaceae","Monolepis nuttalliana","Synonym","Blitum nuttallianum",,,2748,"MONNUT","Monolepis nuttalliana (Schult.) Greene "
"Dicotyledons","Amaranthaceae","Monolepis pusilla","Synonym","Micromonolepis pusilla",,,2753,"MONPUS","Monolepis pusilla Torr. ex S. Watson "
"Dicotyledons","Amaranthaceae","Monolepis spathulata","Synonym","Blitum spathulatum",,,2755,"MONSPA2","Monolepis spathulata A. Gray "
"Dicotyledons","Amaranthaceae","Neokochia americana","Accepted","Neokochia americana","Fully described","vol2, pg83",2236,"NEOAME","Neokochia americana (S. Watson) G.L. Chu & S.C. Sand. "
"Dicotyledons","Amaranthaceae","Nitrophila occidentalis","Accepted","Nitrophila occidentalis","Fully described","vol2, pg83",2824,"NITOCC","Nitrophila occidentalis (Moq.) S. Watson "
"Dicotyledons","Amaranthaceae","Oxybasis rubra var. humilis","Synonym","Chenopodium rubrum var. humile",,,14585,"OXYRUBHUM","Oxybasis rubra (L.) S. Fuentes, Uotila & Borsch var. humilis (Hook.) Mosyakin "
"Dicotyledons","Amaranthaceae","Salicornia ambigua","Synonym","Sarcocornia perennis",,,12185,"SALAMB","Salicornia ambigua Michx. "
"Dicotyledons","Amaranthaceae","Salicornia pacifica","Synonym","Sarcocornia perennis",,,12185,"SALPAC","Salicornia pacifica Standl. "
"Dicotyledons","Amaranthaceae","Salicornia perennis","Synonym","Sarcocornia perennis",,,12185,"SALPER","Salicornia perennis Mill. "
"Dicotyledons","Amaranthaceae","Salicornia rubra","Accepted","Salicornia rubra","Fully described","vol2, pg84",12164,"SALRUB2","Salicornia rubra A. Nelson "
"Dicotyledons","Amaranthaceae","Sarcocornia perennis","Accepted","Sarcocornia perennis","Fully described","vol2, pg85",12185,"SARPER","Sarcocornia perennis (Miller) A.J. Scott "
"Dicotyledons","Amaranthaceae","Suaeda calceoliformis","Accepted","Suaeda calceoliformis","Fully described","vol2, pg85",4012,"SUACAL","Suaeda calceoliformis (Hook.) Moq. "
"Dicotyledons","Amaranthaceae","Suaeda depressa","Synonym","Suaeda calceoliformis",,,4012,"SUADEP","Suaeda depressa (Pursh) S. Watson "
"Dicotyledons","Amaranthaceae","Suaeda depressa var. depressa","Synonym","Suaeda calceoliformis",,,4012,"SUADEPDEP","Suaeda depressa (Pursh) S. Watson var. depressa "
"Dicotyledons","Amaranthaceae","Suaeda depressa var. erecta","Synonym","Suaeda calceoliformis",,,4012,"SUADEPERE","Suaeda depressa (Pursh) S. Watson var. erecta S. Watson "
"Dicotyledons","Amaranthaceae","Suaeda fruticosa","Synonym","Suaeda nigra",,,4013,"SUAFRU","Suaeda fruticosa (L.) Forssk. "
"Dicotyledons","Amaranthaceae","Suaeda intermedia","Synonym","Suaeda nigra",,,4013,"SUAINT","Suaeda intermedia S. Watson "
"Dicotyledons","Amaranthaceae","Suaeda maritima","Synonym","Suaeda calceoliformis",,,4012,"SUAMAR","Suaeda maritima (L.) Dumort. "
"Dicotyledons","Amaranthaceae","Suaeda moquinii","Synonym","Suaeda nigra",,,4013,"SUAMOQ","Suaeda moquinii (Torr.) Greene "
"Dicotyledons","Amaranthaceae","Suaeda nigra","Accepted","Suaeda nigra","Fully described","vol2, pg85",4013,"SUANIG","Suaeda nigra (Raf.) J.F. Macbr. "
"Dicotyledons","Amaranthaceae","Suaeda occidentalis","Synonym","Suaeda calceoliformis",,,4012,"SUAOCC","Suaeda occidentalis S. Watson "
"Dicotyledons","Amaranthaceae","Suaeda torreyana","Synonym","Suaeda nigra",,,4013,"SUATOR","Suaeda torreyana S. Watson "
"Dicotyledons","Anacardiaceae","Rhus aromatica","Accepted","Rhus aromatica","Fully described","vol2, pg87",3495,"RHUARO","Rhus aromatica Aiton "
"Dicotyledons","Anacardiaceae","Rhus aromatica var. aromatica","Synonym","Rhus aromatica",,,3495,"RHUAROARO","Rhus aromatica Aiton var. aromatica "
"Dicotyledons","Anacardiaceae","Rhus diversiloba","Synonym","Toxicodendron diversilobum",,,4097,"RHUDIV","Rhus diversiloba Torr. & A. Gray "
"Dicotyledons","Anacardiaceae","Rhus glabra","Accepted","Rhus glabra","Fully described","vol2, pg87",3489,"RHUGLA","Rhus glabra L. "
"Dicotyledons","Anacardiaceae","Rhus glabra var. occidentalis","Synonym","Rhus glabra",,,3489,"RHUGLAOCC","Rhus glabra L. var. occidentalis Torr. "
"Dicotyledons","Anacardiaceae","Rhus radicans","Misapplied","Toxicodendron rydbergii",,,4107,"RHURAD","Rhus radicans L. "
"Dicotyledons","Anacardiaceae","Rhus toxicodendron","Misapplied","Toxicodendron rydbergii",,,4107,"RHUTOX","Rhus toxicodendron L. "
"Dicotyledons","Anacardiaceae","Rhus trilobata","Synonym","Rhus aromatica",,,3495,"RHUTRI","Rhus trilobata Nutt. "
"Dicotyledons","Anacardiaceae","Rhus trilobata var. trilobata","Synonym","Rhus aromatica",,,3495,"RHUTRITRI","Rhus trilobata Nutt. var. trilobata "
"Dicotyledons","Anacardiaceae","Toxicodendron diversilobum","Accepted","Toxicodendron diversilobum","Fully described","vol2, pg87",4097,"TOXDIV","Toxicodendron diversilobum (Torr. & A. Gray) Greene "
"Dicotyledons","Anacardiaceae","Toxicodendron radicans var. rydbergii","Synonym","Toxicodendron rydbergii",,,4107,"TOXRADRYD","Toxicodendron radicans (L.) Kuntze var. rydbergii (Small ex Rydb.) Erskine "
"Dicotyledons","Anacardiaceae","Toxicodendron rydbergii","Accepted","Toxicodendron rydbergii","Fully described","vol2, pg87",4107,"TOXRYD","Toxicodendron rydbergii (Smalled) Greene "
"Dicotyledons","Apiaceae","Angelica arguta","Accepted","Angelica arguta","Fully described","vol2, pg90",193,"ANGARG","Angelica arguta Nutt. "
"Dicotyledons","Apiaceae","Angelica canbyi","Accepted","Angelica canbyi","Fully described","vol2, pg90",200,"ANGCAN","Angelica canbyi J.M. Coult. & Rose "
"Dicotyledons","Apiaceae","Angelica capitellata","Synonym","Sphenosciadium capitellatum",,,3924,"ANGCAP","Angelica capitellata (A. Gray) Spalik, Reduron & S. R. Downie "
