Version,Family,Scientific name,Previously,As of the stated version,Date,,,,,,
v 1.7,Orobanchaceae,Euphrasia stricta,Accepted (terminal),Synonym of Euphrasia nemorosa,09-May-17,,,,,,
v 1.7,Orobanchaceae,Pedicularis aurantiaca,Accepted (terminal),Synonym of Pedicularis densiflora ssp. aurantiaca,09-May-17,,,,,,
v 1.7,Orobanchaceae,Pedicularis densiflora,Accepted (terminal),Accepted (not terminal),09-May-17,,,,,,
v 1.7,Orobanchaceae,Pedicularis densiflora ssp. aurantiaca,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Orobanchaceae,Pedicularis densiflora ssp. densiflora,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Papaveraceae,Dendromecon rigida,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Pinaceae,Pinus radiata,Accepted (terminal),Excluded,09-May-17,,,,,,
v 1.7,Plantaginaceae,Callitriche brutia,Under evaluation,Accepted (not terminal),09-May-17,,,,,,
v 1.7,Poaceae,Eragrostis pectinacea var. miserrima,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Poaceae,Setaria faberi,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Poaceae,Tripidium ravennae,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Polemoniaceae,Ipomopsis aggregata ssp. aggregata,Misapplied to Ipomopsis aggregata ssp. formosissimaa,Accepted,09-May-17,,,,,,
v 1.7,Polemoniaceae,Ipomopsis aggregata ssp. formosissima,Accepted,Synonym of Ipomopsis aggregata ssp. aggregata,09-May-17,,,,,,
v 1.7,Polemoniaceae,Ipomopsis congesta ssp. montana,Accepted,Synonym of Ipomopsis congesta ssp. palmifrons,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microtheca,Under evaluation,Accepted (not terminal),09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microtheca var. ambiguum,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microtheca var. laxiflorum,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microtheca var. microtheca,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microthecum,Accepted (not terminal),Synonym of Eriogonum microtheca,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microthecum var. ambiguum,Accepted,Synonym of Eriogonum microtheca var. ambiguum,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microthecum var. laxiflorum,Accepted,Synonym of Eriogonum microtheca var. laxiflorum,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum microthecum var. microthecum,Accepted,Synonym of Eriogonum microtheca var. microtheca,09-May-17,,,,,,
v 1.7,Polygonaceae,Eriogonum ovalifolium var. rubidum,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Primulaceae,Lysimachia vulgaris,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Primulaceae,Trientalis europaea,Accepted (terminal),Synonym of Lysimachia europaea,09-May-17,,,,,,
v 1.7,Ranunculaceae,Coptis aspleniifolia,Accepted (terminal),Excluded,09-May-17,,,,,,
v 1.7,Ranunculaceae,Ranunculus austrooreganus,Accepted (terminal),Synonym of Ranunculus austro-oreganus,09-May-17,,,,,,
v 1.7,Ranunculaceae,Ranunculus austro-oreganus,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Rosaceae,Adenostoma fasciculatum,Under evaluation,Accepted (not terminal),09-May-17,,,,,,
v 1.7,Rosaceae,Adenostoma fasciculatum var. fasciculatum,Under evaluation,Accepted,09-May-17,,,,,,
v 1.7,Rosaceae,Malus sieboldii,Accepted (terminal),Synonym of Malus toringo,09-May-17,,,,,,
v 1.7,Rosaceae,Malus toringo,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Rosaceae,Potentilla brunnescens,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.7,Scrophulariaceae,Limosella acaulis,Excluded,Accepted (terminal),09-May-17,,,,,,
v 1.7,Violaceae,Viola riviniana,Under evaluation,Accepted (terminal),09-May-17,,,,,,
v 1.6,Aizoaceae,Carpobrotus edulis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Alismataceae,Sagittaria graminea,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Alismataceae,Sagittaria graminea ssp. graminea,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Atriplex heterosperma,Accepted,Synonym of Atriplex micrantha C.A. Mey.,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Atriplex micrantha,Synonym of Atriplex heterosperma,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Bassia scoparia,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Blitum nuttallianum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Blitum spathulatum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Kochia scoparia,Accepted,Synonym of Bassia scoparia,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Micromonolepis pusilla,Synonym of Monolepis pusilla,Accepted,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Monolepis nuttalliana,Accepted,Synonym of Blitum nuttallianum,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Monolepis pusilla,Accepted,Synonym of Micromonolepis pusilla,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Monolepis spathulata,Accepted,Synonym of Blitum spathulatum,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Suaeda moquinii,Accepted,Synonym of Suaeda nigra,27-Apr-16,,,,,,
v 1.6,Amaranthaceae,Suaeda nigra,Synonym of Suaeda moquinii,Accepted,27-Apr-16,,,,,,
v 1.6,Amaryllidaceae,Allium dictuon,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Amaryllidaceae,Allium obtusum,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Amaryllidaceae,Allium obtusum var. obtusum,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Apiaceae,Bupleurum odontites,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Apiaceae,Bupleurum rotundifolium,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Apiaceae,Chaerophyllum temulum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium grayi,Accepted,Synonym of Lomatium papilioniferum,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium klickitatensis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium packardiae,Accepted,Synonym of Lomatium triternatum,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium papilioniferum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium triternatum,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium triternatum ssp. platycarpum,Accepted,Synonym of Lomatium triternatum,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium triternatum var. anomalum,Accepted,Synonym of Lomatium triternatum,27-Apr-16,,,,,,
v 1.6,Apiaceae,Lomatium triternatum var. triternatum,Accepted,Synonym of Lomatium triternatum,27-Apr-16,,,,,,
v 1.6,Apocynaceae,Cycladenia humilis var. humilis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Achillea ptarmica,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Chrysanthemum segetum,Accepted,Synonym of Glebionis segetum,27-Apr-16,,,,,,
v 1.6,Asteraceae,Glebionis segetum,Synonym of Chrysanthemum segetum,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Layia carnosa,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Leucanthemum × superbum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Nabalus hastatus,Accepted,Synonym of Prenanthes alata,27-Apr-16,,,,,,
v 1.6,Asteraceae,Prenanthes alata,Synonym of Nabalus hastatus,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Psathyrotes annua,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Asteraceae,Psilocarphus tenellus,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Asteraceae,Psilocarphus tenellus var. tenellus,Accepted,Synonym of Psilocarphus tenellus,27-Apr-16,,,,,,
v 1.6,Athyriaceae,Athyrium alpestre,Accepted,Synonym of Athyrium distentifolium var. americanum,27-Apr-16,,,,,,
v 1.6,Betulaceae,Betula × sargentii,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Adelinia grande,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Andersonglossum occidentale,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Cynoglossum grande,Accepted,Synonym of Adelinia grande,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Cynoglossum occidentale,Accepted,Synonym of Andersonglossum occidentale,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Echium candicans,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Gruvelia pusilla,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Myosotis sylvatica,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Pectocarya pusilla,Accepted,Synonym of Gruvelia pusilla,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Plagiobothrys hispidus,Accepted,Synonym of Sonnea hispida,27-Apr-16,,,,,,
v 1.6,Boraginaceae,Sonnea hispida,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Brassicaceae,Armoracia rusticana,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Brassicaceae,Draba stenoloba,Accepted,Synonym of Draba albertina,27-Apr-16,,,,,,
v 1.6,Campanulaceae,Downingia bicornuta,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Campanulaceae,Downingia bicornuta var. bicornuta,Accepted,Synonym of Downingia bicornuta,27-Apr-16,,,,,,
v 1.6,Cannabaceae,Humulus lupulus,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Cannabaceae,Humulus lupulus var. lupulus,Accepted,Synonym of Humulus lupulus,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera × bella,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera caerulea,Accepted,Synonym of Lonicera cauriana,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera cauriana,Misapplied to Lonicera caerulea,Accepted,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera hispidula,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera hispidula var. hispidula,Accepted,Synonym of Lonicera hispidula,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera subspicata var. denudata,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caprifoliaceae,Lonicera tatarica,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Agrostemma githago,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Agrostemma githago var. githago,Synonym of Agrostemma githago,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cerastium brachypodum,Synonym of Cerastium nutans,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cerastium dubium,Accepted,Synonym of Dichodon viscidum,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cerastium nutans,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cerastium nutans var. nutans,Synonym of Cerastium nutans,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cerastium viride,Synonym of Cerastium arvense,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Cherleria obtusiloba,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Dianthus barbatus,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Dianthus barbatus ssp. barbatus,Synonym of Dianthus barbatus,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Dichodon viscidum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone aculeata × Eremogone capillaris var. americana,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone capillaris var. americana × Eremogone congesta,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone congesta × Eremogone kingii,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone franklinii,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone franklinii var. franklinii,Synonym of Eremogone franklinii,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Eremogone franklinii var. thompsonii,Synonym of Eremogone franklinii,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Herniaria glabra,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Herniaria hirsuta,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Herniaria hirsuta var. cinerea,Synonym of Herniaria hirsuta,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Holosteum umbellatum,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Holosteum umbellatum ssp. umbellatum,Synonym of Holosteum umbellatum,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Honckenya peploides ssp. major,Synonym of Honckenya peploides var. major,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Honckenya peploides var. major,Accepted,Synonym of Honckenya peploides ssp. major,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Lychnis coronaria,Synonym of Silene coronaria,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia austromontana,Accepted,Synonym of Sabulina austromontana,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia californica,Accepted,Synonym of Sabulina californica,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia cismontana,Accepted,Synonym of Sabulina cismontana,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia douglasii,Accepted,Synonym of Sabulina douglasii,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia howellii,Accepted,Synonym of Sabulina howellii,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia nuttallii,Accepted,Synonym of Sabulina nuttallii,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia nuttallii var. fragilis,Accepted,Synonym of Sabulina nuttallii var. fragilis,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia nuttallii var. gracilis,Accepted,Synonym of Sabulina nuttallii var. gracilis,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia nuttallii var. gregaria,Accepted,Synonym of Sabulina nuttallii var. gregaria,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia nuttallii var. nuttallii,Accepted,Synonym of Sabulina nuttallii var. nuttallii,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia obtusiloba,Accepted,Synonym of Cherleria obtusiloba,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia pusilla,Accepted,Synonym of Sabulina pusilla,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia rubella,Accepted,Synonym of Sabulina rubella,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Minuartia tenella,Accepted,Synonym of Sabulina macra,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Polycarpon tetraphyllum,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Polycarpon tetraphyllum ssp. tetraphyllum,Synonym of Polycarpon tetraphyllum,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina austromontana,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina californica,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina cismontana,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina douglasii,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina howellii,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina macra,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina nuttallii,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina nuttallii var. fragilis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina nuttallii var. gracilis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina nuttallii var. gregaria,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina nuttallii var. nuttallii,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina pusilla,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Sabulina rubella,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene acaulis,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene acaulis var. exscapa,Accepted,Synonym of Silene acaulis,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene bernardina,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene bernardina var. rigidula,Accepted,Synonym of Silene bernardina,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene coronaria,Accepted,Synonym of Lychnis coronaria,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene hookeri ssp. pulverulenta,Accepted,Synonym of Silene hookeri ssp. hookeri,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene pectinata,Synonym of Silene nuda,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene scaposa,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene scaposa var. lobata,Accepted,Synonym of Silene nuda,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Silene scaposa var. scaposa,Accepted,Synonym of Silene scaposa,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Spergularia marina,Synonym of Spergularia salina var. salina,Accepted,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Spergularia salina,Accepted,Synonym of Spergularia marina,27-Apr-16,,,,,,
v 1.6,Caryophyllaceae,Spergularia salina var. salina,Accepted,Synonym of Spergularia marina,27-Apr-16,,,,,,
v 1.6,Celastraceae,Euonymus occidentalis,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Celastraceae,Euonymus occidentalis var. occidentalis,Accepted,Synonym of Euonymus occidentalis,27-Apr-16,,,,,,
v 1.6,Comandraceae,Comandra umbellata,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Comandraceae,Comandra umbellata ssp. californica,Accepted,Synonym of Comandra umbellata,27-Apr-16,,,,,,
v 1.6,Comandraceae,Comandra umbellata ssp. pallida,Accepted,Synonym of Comandra umbellata,27-Apr-16,,,,,,
v 1.6,Commelinaceae,Tradescantia fluminensis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cressa truxillensis,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cressa truxillensis var. vallicola,Accepted,Synonym of Cressa truxillensis,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta approximata,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta approximata var. approximata,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta californica,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta californica var. californica,Synonym of Cuscuta californica,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta campestris,Misapplied to Cuscuta pentagona var. pentagona,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta epithymum,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta epithymum var. epithymum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta indecora var. indecora,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta indecora var. neuropetala,Accepted,Synonym of Cuscuta indecora var. indecora,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta pacifica,Accepted (terminal),Accepted (not terminal),27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta pacifica var. pacifica,Synonym of Cuscuta pacifica,Accepted,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta pentagona,Accepted,Synonym of Cuscuta campestris,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta pentagona var. pentagona,Accepted,Synonym of Cuscuta campestris,27-Apr-16,,,,,,
v 1.6,Convolvulaceae,Cuscuta suksdorfii,Synonym of Cuscuta occidentalis,Accepted,27-Apr-16,,,,,,
v 1.6,Cornaceae,Cornus obliqua,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum lanceolatum var. nesioticum,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum obtusatum,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum obtusatum ssp. retusum,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum rupestre,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum spathulifolium,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum spathulifolium ssp. purdyi,Accepted,Synonym of Sedum spathulifolium,27-Apr-16,,,,,,
v 1.6,Crassulaceae,Sedum spathulifolium ssp. spathulifolium,Accepted,Synonym of Sedum spathulifolium,27-Apr-16,,,,,,
v 1.6,Cucurbitaceae,Echinocystis lobata,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Cyperaceae,Carex brevicaulis,Accepted,Synonym of Carex zikae,27-Apr-16,,,,,,
v 1.6,Cyperaceae,Carex zikae,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Elatinaceae,Elatine rubella,Synonym of Elatine chilensis,Accepted,27-Apr-16,,,,,,
v 1.6,Ericaceae,Cassiope mertensiana ssp. gracilis,Accepted,Synonym of Cassiope mertensiana var. gracilis,27-Apr-16,,,,,,
v 1.6,Ericaceae,Cassiope mertensiana ssp. mertensiana,Accepted,Synonym of Cassiope mertensiana var. mertensiana,27-Apr-16,,,,,,
v 1.6,Ericaceae,Cassiope mertensiana var. gracilis,Synonym of Cassiope mertensiana ssp. gracilis,Accepted,27-Apr-16,,,,,,
v 1.6,Ericaceae,Cassiope mertensiana var. mertensiana,Synonym of Cassiope mertensiana ssp. mertensiana,Accepted,27-Apr-16,,,,,,
v 1.6,Ericaceae,Chimaphila umbellata,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Ericaceae,Chimaphila umbellata ssp. umbellata,Accepted,Synonym of Chimaphila umbellata,27-Apr-16,,,,,,
v 1.6,Ericaceae,Pyrola aphylla,Synonym of Pyrola picta,Accepted,27-Apr-16,,,,,,
v 1.6,Ericaceae,Vaccinium caespitosum,Synonym of Vaccinium cespitosum,Accepted,27-Apr-16,,,,,,
v 1.6,Ericaceae,Vaccinium cespitosum,Accepted,Synonym of Vaccinium caespitosum,27-Apr-16,,,,,,
v 1.6,Euphorbiaceae,Euphorbia dulcis,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Fabaceae,Hoita macrostachya,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Fabaceae,Ononis arvensis,Accepted,Excluded,27-Apr-16,,,,,,
v 1.6,Fabaceae,Vicia lathyroides,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Heliotropiaceae,Argusia sibirica,Accepted,Synonym of Tournefortia sibirica,27-Apr-16,,,,,,
v 1.6,Heliotropiaceae,Tournefortia sibirica,Synonym of Argusia sibirica,Accepted,27-Apr-16,,,,,,
v 1.6,Liliaceae,Lilium washingtonianum ssp. washingtonianum,Excluded,Accepted,27-Apr-16,,,,,,
v 1.6,Liliaceae,Prosartes parvifolia,Synonym of Prosartes hookeri,Accepted,27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia parviflora,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia parviflora ssp. parviflora,Accepted,Synonym of Claytonia parviflora,27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia perfoliata,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia perfoliata ssp. intermontana,Accepted,Synonym of Claytonia perfoliata,27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia perfoliata ssp. perfoliata,Accepted,Synonym of Claytonia perfoliata,27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia rubra,Accepted (not terminal),Accepted (terminal),27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia rubra ssp. depressa,Accepted,Synonym of Claytonia rubra,27-Apr-16,,,,,,
v 1.6,Montiaceae,Claytonia rubra ssp. rubra,Accepted,Synonym of Claytonia rubra,27-Apr-16,,,,,,
v 1.6,Onagraceae,Ludwigia peploides ssp. montevidensis,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja affinis,Accepted,Synonym of Castilleja litoralis,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja affinis ssp. litoralis,Accepted,Synonym of Castilleja litoralis,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja ambigua ssp. ambigua,Accepted,Synonym of Castilleja ambigua var. ambigua,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja ambigua var. ambigua,Synonym of Castilleja ambigua ssp. ambigua,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja campestris ssp. campestris,Accepted,Synonym of Castilleja campestris var. campestris,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja campestris var. campestris,Synonym of Castilleja campestris ssp. campestris,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja collegiorum,Under evaluation,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja litoralis,Synonym of Castilleja affinis ssp. litoralis,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja lutea,Synonym of Castilleja cusickii,Accepted,27-Apr-16,,,,,,
v 1.6,Orobanchaceae,Castilleja miniata var. dixonii,Synonym of Castilleja miniata var. miniata,Accepted,27-Apr-16,,,,,,
