Version,Family,Scientific name,Previously,As of the stated version,Date,,,,,,
v 2.1,Polygonaceae,Aconogonon phytolaccifolium var. glabrum,Accepted (terminal),Synonym of Koenigia phytolaccifolia (Small) T.M. Schust. & Reveal,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Aconogonon phytolaccifolium var. phytolaccifolium,Accepted (terminal),Synonym of Koenigia phytolaccifolia (Small) T.M. Schust. & Reveal,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Eriogonum calcareum,Accepted (terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Eriogonum calcareum var. calcareum,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Eriogonum ochrocephalum,Accepted (terminal),Synonym of Eriogonum calcareum (S. Stokes) Grady & Reveal var. calcareum,07-Jan-23,,,,,,
v 2.1,Polygonaceae,Koenigia davisiae,Under evaluation,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Koenigia davisiae var. davisiae,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Koenigia phytolaccifolia,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Persicaria wallichii,Accepted (not terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Persicaria wallichii var. wallichii,Synonym of Persicaria wallichii,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Polygonum fowleri,Excluded,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Polygonum fowleri ssp. fowleri,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Polygonum sawatchense,Accepted (not terminal),Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Polygonum sawatchense ssp. oblivium,Synonym of Polygonum sawatchense,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Polygonum sawatchense ssp. sawatchense,Synonym of Polygonum douglasii,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Rumex crassus,Synonym of,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Rumex lacustris,Synonym of,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Rumex salicifolius,Accepted (terminal),"Synonym of Rumex crassus, R. lacustrus, R. ransitorius, R. triangulivalvis, R. utahensis",07-Jan-23,,,,,,
v 2.1,Polygonaceae,Rumex transitorius,Synonym of,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Polygonaceae,Rumex triangulivalvis,Synonym of,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Primulaceae,Androsace laevigata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Primulaceae,Douglasia laevigata,Accepted (terminal),Synonym of Androsace laevigata (A. Gray) Wendelbo,07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Actaea elata,Synonym of Cimicifuga elata,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Actaea elata var. alpestris,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Actaea elata var. elata,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Actaea laciniata,Synonym of Cimicifuga laciniata,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Cimicifuga elata,Accepted (not terminal),Synonym of Actaea elata (Nutt.) Prantl,07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Cimicifuga elata var. alpestris,Accepted (terminal),Synonym of Actaea elata (Nutt.) Prantl var. alpestris (H.W. Lee & C.W. Park) Cubey,07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Cimicifuga elata var. elata,Accepted (terminal),Synonym of Actaea elata (Nutt.) Prantl var. elata,07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Cimicifuga laciniata,Accepted (terminal),Synonym of Actaea laciniata (S. Watson) J. Compton,07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Clematis orientalis,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Myosurus alopecuroides,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Ranunculaceae,Myosurus minimus,Accepted (terminal),Synonym of Myosurus alopecuroides Greene,07-Jan-23,,,,,,
v 2.1,Rosaceae,Crataegus heterophylla,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rosaceae,Malus domestica × Malus sieboldii,Accepted,Synonym of Malus domestica Borkh. × Malus toringo (Siebold) de Vriese,07-Jan-23,,,,,,
v 2.1,Rosaceae,Malus domestica × Malus toringo,Under evaluation,Accepted,07-Jan-23,,,,,,
v 2.1,Rosaceae,Photinia × fraseri,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rosaceae,Pyracantha koidzumii,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium californicum,Accepted (not terminal),Synonym of,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium californicum ssp. californicum,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium glabrescens ssp. josephinense,Synonym of Galium multiflorum var. multiflorum,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium multiflorum,Accepted (not terminal),Misapplied to Galium serpenticum,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium multiflorum var. multiflorum,Accepted (terminal),Misapplied to Galium serpenticum,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium murale,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium parisiense,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Rubiaceae,Galium parisiense var. parisiense,Accepted (terminal),Synonym of Galium parisiense L.,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Rubia tinctoria,Accepted (terminal),Synonym of Rubia tinctorum L.,07-Jan-23,,,,,,
v 2.1,Rubiaceae,Rubia tinctorum,Synonym of Rubia tinctoria,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Sapindaceae,Acer glabrum var. torreyi,Accepted (terminal),Excluded,07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Hemieva ranunculifolia,Synonym of Suksdorfia ranunculifolia,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Heuchera rubescens var. truncata,Accepted (terminal),Synonym of Heuchera rubescens,07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Micranthes nelsoniana,Accepted (not terminal),Synonym of Micranthes nelsoniana (D. Don) Small,07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Micranthes nelsoniana,Synonym of Saxifraga nelsoniana,Accepted (not terminal),07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Micranthes nelsoniana var. cascadensis,Synonym of Micranthes odontoloma,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Suksdorfia ranunculifolia,Accepted (terminal),Synonym of Hemieva ranunculifolia (Hook.) Raf.,07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Tolmiea diplomenziesii,Accepted (terminal),Synonym of Tolmiea menziesii (Pursh) Torr. & A. Gray,07-Jan-23,,,,,,
v 2.1,Saxifragaceae,Tolmiea menziesii,Ambiguous,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Solanaceae,Solanum aviculare,Excluded,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Solanaceae,Solanum parishii,Accepted (terminal),Synonym of Solanum umbelliferum Eschsch.,07-Jan-23,,,,,,
v 2.1,Ulmaceae,Ulmus × hollandica,Under evaluation,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Valerianaceae,Plectritis ciliosa,Accepted (terminal),Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Valerianaceae,Plectritis ciliosa ssp. ciliosa,Accepted (terminal),Synonym of Plectritis ciliosa (Greene) Jeps.,07-Jan-23,,,,,,
v 2.1,Valerianaceae,Plectritis ciliosa ssp. insignis,Accepted (terminal),Synonym of Plectritis ciliosa (Greene) Jeps.,07-Jan-23,,,,,,
v 2.1,Valerianaceae,Valeriana sitchensis ssp. scouleri,Synonym of Valeriana sitchensis var. scouleri,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Valerianaceae,Valeriana sitchensis ssp. sitchensis,Synonym of Valeriana sitchensis var. sitchensis,Accepted (terminal),07-Jan-23,,,,,,
v 2.1,Valerianaceae,Valeriana sitchensis var. scouleri,Accepted (terminal),Synonym of Valeriana sitchensis Bong. ssp. scouleri Piper,07-Jan-23,,,,,,
v 2.1,Valerianaceae,Valeriana sitchensis var. sitchensis,Accepted (terminal),Synonym of Valeriana sitchensis Bong. ssp. sitchensis,07-Jan-23,,,,,,
