Group,Family,Taxon,Taxonomic status,Accepted name for Taxon,Taxonomic note
Dicotyledons,Amaranthaceae,Neokochia americana,Accepted,,
Dicotyledons,Amaranthaceae,Nitrophila occidentalis,Accepted,,
Dicotyledons,Amaranthaceae,Roubieva multifida,Synonym,Dysphania multifida,
Dicotyledons,Amaranthaceae,Salicornia ambigua,Synonym,Sarcocornia perennis,
Dicotyledons,Amaranthaceae,Salicornia pacifica,Synonym,Sarcocornia perennis,
Dicotyledons,Amaranthaceae,Salicornia perennis,Synonym,Sarcocornia perennis,
Dicotyledons,Amaranthaceae,Salicornia rubra,Accepted,,
Dicotyledons,Amaranthaceae,Salsola kali,Misapplied,Salsola tragus,
Dicotyledons,Amaranthaceae,Salsola kali,Accepted,,
Dicotyledons,Amaranthaceae,Salsola kali ssp. kali,Synonym,Salsola tragus,
Dicotyledons,Amaranthaceae,Salsola kali ssp. pontica,Accepted,,
Dicotyledons,Amaranthaceae,Salsola kali var. tenuifolia,Misapplied,Salsola tragus,
Dicotyledons,Amaranthaceae,Salsola tragus,Accepted,,
Dicotyledons,Amaranthaceae,Sarcocornia perennis,Accepted,,
Dicotyledons,Amaranthaceae,Suaeda calceoliformis,Accepted,,
Dicotyledons,Amaranthaceae,Suaeda depressa,Synonym,Suaeda calceoliformis,
Dicotyledons,Amaranthaceae,Suaeda depressa var. depressa,Synonym,Suaeda calceoliformis,
Dicotyledons,Amaranthaceae,Suaeda depressa var. erecta,Synonym,Suaeda calceoliformis,
Dicotyledons,Amaranthaceae,Suaeda fruticosa,Synonym,Suaeda nigra,
Dicotyledons,Amaranthaceae,Suaeda intermedia,Synonym,Suaeda nigra,
Dicotyledons,Amaranthaceae,Suaeda maritima,Synonym,Suaeda calceoliformis,
Dicotyledons,Amaranthaceae,Suaeda moquinii,Synonym,Suaeda nigra,
Dicotyledons,Amaranthaceae,Suaeda nigra,Accepted,,
Dicotyledons,Amaranthaceae,Suaeda occidentalis,Synonym,Suaeda calceoliformis,
Dicotyledons,Amaranthaceae,Suaeda torreyana,Synonym,Suaeda nigra,
Dicotyledons,Anacardiaceae,Cotinus coggygria,Accepted,,
Dicotyledons,Anacardiaceae,Rhus aromatica,Accepted,,
Dicotyledons,Anacardiaceae,Rhus diversiloba,Synonym,Toxicodendron diversilobum,
Dicotyledons,Anacardiaceae,Rhus glabra,Accepted,,
Dicotyledons,Anacardiaceae,Rhus glabra var. occidentalis,Synonym,Rhus glabra,
Dicotyledons,Anacardiaceae,Rhus radicans,Misapplied,Toxicodendron rydbergii,
Dicotyledons,Anacardiaceae,Rhus toxicodendron,Misapplied,Toxicodendron rydbergii,
Dicotyledons,Anacardiaceae,Rhus trilobata,Synonym,Rhus aromatica,
Dicotyledons,Anacardiaceae,Rhus trilobata var. trilobata,Synonym,Rhus aromatica,
Dicotyledons,Anacardiaceae,Toxicodendron diversilobum,Accepted,,
Dicotyledons,Anacardiaceae,Toxicodendron diversilobum × Toxicodendron rydbergii,Accepted,,
Dicotyledons,Anacardiaceae,Toxicodendron radicans var. rydbergii,Synonym,Toxicodendron rydbergii,
Dicotyledons,Anacardiaceae,Toxicodendron rydbergii,Accepted,,
Dicotyledons,Apiaceae,Aegopodium podagraria,Accepted,,
Dicotyledons,Apiaceae,Anethum graveolens,Accepted,,
Dicotyledons,Apiaceae,Angelica arguta,Accepted,,
Dicotyledons,Apiaceae,Angelica canbyi,Accepted,,
Dicotyledons,Apiaceae,Angelica genuflexa,Accepted,,
Dicotyledons,Apiaceae,Angelica hendersonii,Accepted,,
Dicotyledons,Apiaceae,Angelica lucida,Accepted,,
Dicotyledons,Apiaceae,Angelica tomentosa,Accepted,,
Dicotyledons,Apiaceae,Anthriscus caucalis,Accepted,,
Dicotyledons,Apiaceae,Anthriscus scandicina,Synonym,Anthriscus caucalis,
Dicotyledons,Apiaceae,Anthriscus sylvestris,Accepted,,
Dicotyledons,Apiaceae,Apium graveolens,Accepted,,
Dicotyledons,Apiaceae,Apium graveolens var. dulce,Synonym,Apium graveolens,
Dicotyledons,Apiaceae,Berula erecta,Accepted,,
Dicotyledons,Apiaceae,Berula erecta var. incisa,Synonym,Berula erecta,
Dicotyledons,Apiaceae,Bupleurum americanum,Accepted,,
Dicotyledons,Apiaceae,Bupleurum fontanesii,Synonym,Bupleurum odontites,
Dicotyledons,Apiaceae,Bupleurum odontites,Accepted,,
Dicotyledons,Apiaceae,Carum carvi,Accepted,,
Dicotyledons,Apiaceae,Caucalis microcarpa,Synonym,Yabea microcarpa,
Dicotyledons,Apiaceae,Centella erecta,Accepted,,
Dicotyledons,Apiaceae,Chaerophyllum temulum,Accepted,,
Dicotyledons,Apiaceae,Cicuta bulbifera,Accepted,,
Dicotyledons,Apiaceae,Cicuta douglasii,Accepted,,
Dicotyledons,Apiaceae,Cicuta maculata,Accepted,,
Dicotyledons,Apiaceae,Cicuta maculata var. angustifolia,Accepted,,
Dicotyledons,Apiaceae,Cnidium monnieri,Accepted,,
Dicotyledons,Apiaceae,Conioselinum chinense,Synonym,Conioselinum pacificum,
Dicotyledons,Apiaceae,Conioselinum gmelinii,Synonym,Conioselinum pacificum,
Dicotyledons,Apiaceae,Conioselinum pacificum,Accepted,,
Dicotyledons,Apiaceae,Conioselinum scopulorum,Accepted,,
Dicotyledons,Apiaceae,Conium maculatum,Accepted,,
Dicotyledons,Apiaceae,Coriandrum sativum,Accepted,,
Dicotyledons,Apiaceae,Cyclospermum leptophyllum,Accepted,,
Dicotyledons,Apiaceae,Cymopterus acaulis,Synonym,Cymopterus glomeratus,illegitimate name
Dicotyledons,Apiaceae,Cymopterus acaulis var. acaulis,Synonym,Cymopterus glomeratus,
Dicotyledons,Apiaceae,Cymopterus acaulis var. greeleyorum,Synonym,Cymopterus glomeratus,
Dicotyledons,Apiaceae,Cymopterus bipinnatus,Synonym,Cymopterus nivalis,
Dicotyledons,Apiaceae,Cymopterus corrugatus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus glomeratus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus ibapensis,Synonym,Cymopterus longipes var. ibapensis,
Dicotyledons,Apiaceae,Cymopterus longipes,Accepted,,
Dicotyledons,Apiaceae,Cymopterus longipes var. ibapensis,Accepted,,
Dicotyledons,Apiaceae,Cymopterus nivalis,Accepted,,
Dicotyledons,Apiaceae,Cymopterus petraeus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus purpurascens,Accepted,,
Dicotyledons,Apiaceae,Cymopterus terebinthinus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus terebinthinus var. foeniculaceus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus terebinthinus var. petraeus,Synonym,Cymopterus petraeus,
Dicotyledons,Apiaceae,Cymopterus terebinthinus var. terebinthinus,Accepted,,
Dicotyledons,Apiaceae,Cymopterus watsonii,Synonym,Cymopterus longipes var. ibapensis,
Dicotyledons,Apiaceae,Daucus carota,Accepted,,
Dicotyledons,Apiaceae,Daucus pusillus,Accepted,,
Dicotyledons,Apiaceae,Eryngium alismifolium,Accepted,,
Dicotyledons,Apiaceae,Eryngium articulatum,Accepted,,
Dicotyledons,Apiaceae,Eryngium petiolatum,Accepted,,
Dicotyledons,Apiaceae,Foeniculum vulgare,Accepted,,
Dicotyledons,Apiaceae,Glehnia leiocarpa,Accepted,,
Dicotyledons,Apiaceae,Glehnia littoralis ssp. leiocarpa,Synonym,Glehnia leiocarpa,
Dicotyledons,Apiaceae,Heracleum lanatum,Synonym,Heracleum maximum,
Dicotyledons,Apiaceae,Heracleum mantegazzianum,Accepted,,
Dicotyledons,Apiaceae,Heracleum maximum,Accepted,,
Dicotyledons,Apiaceae,Ligusticum apiifolium,Accepted,,
Dicotyledons,Apiaceae,Ligusticum californicum,Accepted,,
Dicotyledons,Apiaceae,Ligusticum canbyi,Accepted,,
Dicotyledons,Apiaceae,Ligusticum filicinum,Accepted,,
Dicotyledons,Apiaceae,Ligusticum filicinum var. filicinum,Synonym,Ligusticum filicinum,
Dicotyledons,Apiaceae,Ligusticum filicinum var. tenuifolium,Synonym,Ligusticum tenuifolium,
Dicotyledons,Apiaceae,Ligusticum grayi,Accepted,,
Dicotyledons,Apiaceae,Ligusticum tenuifolium,Accepted,,
Dicotyledons,Apiaceae,Lilaeopsis occidentalis,Accepted,,
Dicotyledons,Apiaceae,Lomatium alatum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium ambiguum,Accepted,,
Dicotyledons,Apiaceae,Lomatium ambiguum var. leptocarpum,Synonym,Lomatium leptocarpum,
Dicotyledons,Apiaceae,Lomatium angustatum,Synonym,Lomatium martindalei,
Dicotyledons,Apiaceae,Lomatium angustatum var. flavum,Synonym,Lomatium martindalei,
Dicotyledons,Apiaceae,Lomatium anomalum,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium artemisiarum,Synonym,Lomatium macrocarpum,
Dicotyledons,Apiaceae,Lomatium bentonitum,Accepted,,
Dicotyledons,Apiaceae,Lomatium bicolor var. leptocarpum,Synonym,Lomatium leptocarpum,
Dicotyledons,Apiaceae,Lomatium bradshawii,Accepted,,
Dicotyledons,Apiaceae,Lomatium brevifolium,Synonym,Lomatium triternatum,
Dicotyledons,Apiaceae,Lomatium brunsfeldianum,Accepted,,
Dicotyledons,Apiaceae,Lomatium californicum,Accepted,,
Dicotyledons,Apiaceae,Lomatium canbyi,Accepted,,
Dicotyledons,Apiaceae,Lomatium circumdatum,Synonym,Lomatium cous,
Dicotyledons,Apiaceae,Lomatium columbianum,Accepted,,
Dicotyledons,Apiaceae,Lomatium cookii,Accepted,,
Dicotyledons,Apiaceae,Lomatium cous,Accepted,,
Dicotyledons,Apiaceae,Lomatium cusickii,Accepted,,
Dicotyledons,Apiaceae,Lomatium dissectum,Accepted,,
Dicotyledons,Apiaceae,Lomatium dissectum var. dissectum,Accepted,,
Dicotyledons,Apiaceae,Lomatium dissectum var. eatonii,Synonym,Lomatium dissectum var. multifidum,
Dicotyledons,Apiaceae,Lomatium dissectum var. multifidum,Accepted,,
Dicotyledons,Apiaceae,Lomatium donnellii,Accepted,,
Dicotyledons,Apiaceae,Lomatium elllipticum,Synonym,Lomatium macrocarpum,
Dicotyledons,Apiaceae,Lomatium engelmannii,Accepted,,
Dicotyledons,Apiaceae,Lomatium erythrocarpum,Accepted,,
Dicotyledons,Apiaceae,Lomatium farinosum,Accepted,,
Dicotyledons,Apiaceae,Lomatium farinosum var. hambleniae,Accepted,,
Dicotyledons,Apiaceae,Lomatium filicinum,Synonym,Lomatium brunsfeldianum,
Dicotyledons,Apiaceae,Lomatium foeniculaceum,Accepted,,
Dicotyledons,Apiaceae,Lomatium foeniculaceum ssp. macdougalii,Synonym,Lomatium foeniculaceum var. macdougalii,
Dicotyledons,Apiaceae,Lomatium foeniculaceum var. fimbriatum,Accepted,,
Dicotyledons,Apiaceae,Lomatium foeniculaceum var. macdougalii,Accepted,,
Dicotyledons,Apiaceae,Lomatium frenchii,Synonym,Lomatium watsonii,
Dicotyledons,Apiaceae,Lomatium fusiformis,Synonym,Orogenia fusiformis,
Dicotyledons,Apiaceae,Lomatium gormanii,Accepted,,
Dicotyledons,Apiaceae,Lomatium grayi,Misapplied,Lomatium papilioniferum,
Dicotyledons,Apiaceae,Lomatium grayi var. grayi,Misapplied,Lomatium papilioniferum,
Dicotyledons,Apiaceae,Lomatium greenmanii,Accepted,,
Dicotyledons,Apiaceae,Lomatium hallii,Accepted,,
Dicotyledons,Apiaceae,Lomatium hambleniae,Synonym,Lomatium farinosum var. hambleniae,
Dicotyledons,Apiaceae,Lomatium hendersonii,Accepted,,
Dicotyledons,Apiaceae,Lomatium howellii,Accepted,,
Dicotyledons,Apiaceae,Lomatium jonesii,Synonym,Lomatium foeniculaceum var. macdougalii,
Dicotyledons,Apiaceae,Lomatium klickitatense,Accepted,,
Dicotyledons,Apiaceae,Lomatium laevigatum,Accepted,,
Dicotyledons,Apiaceae,Lomatium leptocarpum,Accepted,,
Dicotyledons,Apiaceae,Lomatium linearifolium,Synonym,Orogenia fusiformis,
Dicotyledons,Apiaceae,Lomatium macdougalii,Synonym,Lomatium foeniculaceum var. macdougalii,
Dicotyledons,Apiaceae,Lomatium macrocarpum,Accepted,,
Dicotyledons,Apiaceae,Lomatium macrocarpum var. artemisiarum,Synonym,Lomatium macrocarpum,
Dicotyledons,Apiaceae,Lomatium macrocarpum var. ellipticum,Synonym,Lomatium macrocarpum,
Dicotyledons,Apiaceae,Lomatium macrocarpum var. semivittatum,Synonym,Lomatium macrocarpum,
Dicotyledons,Apiaceae,Lomatium martindalei,Accepted,,
Dicotyledons,Apiaceae,Lomatium martindalei var. angustatum,Synonym,Lomatium martindalei,
Dicotyledons,Apiaceae,Lomatium martindalei var. flavum,Synonym,Lomatium martindalei,
Dicotyledons,Apiaceae,Lomatium martindalei var. martindalei,Synonym,Lomatium martindalei,
Dicotyledons,Apiaceae,Lomatium minus,Accepted,,
Dicotyledons,Apiaceae,Lomatium montanum,Synonym,Lomatium cous,
Dicotyledons,Apiaceae,Lomatium multifidum,Synonym,Lomatium dissectum var. multifidum,
