Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,FloraPage,ConceptNum,Acronym
Dicotyledons,Caryophyllaceae,Silene scaposa,Accepted,Silene scaposa,,native,Fully described,"vol2, pg574",3868,SILSCA
Dicotyledons,Caryophyllaceae,Silene scaposa var. lobata,Synonym,Silene nuda,,,,,4410,SILSCALOB
Dicotyledons,Caryophyllaceae,Silene scaposa var. scaposa,Synonym,Silene scaposa,,,,,3868,SILSCASCA
Dicotyledons,Caryophyllaceae,Silene scouleri,Accepted,Silene scouleri,Bare species,native,,,9217,SILSCO
Dicotyledons,Caryophyllaceae,Silene scouleri ssp. grandis,Synonym,Silene scouleri ssp. scouleri,,,,,3869,SILSCOGRA
Dicotyledons,Caryophyllaceae,Silene scouleri ssp. scouleri,Accepted,Silene scouleri ssp. scouleri,,native,Fully described,"vol2, pg575",3869,SILSCOSCO2
Dicotyledons,Caryophyllaceae,Silene scouleri var. pacifica,Synonym,Silene scouleri ssp. scouleri,,,,,3869,SILSCOPAC
Dicotyledons,Caryophyllaceae,Silene scouleri var. scouleri,Synonym,Silene scouleri ssp. scouleri,,,,,3869,SILSCOSCO
Dicotyledons,Caryophyllaceae,Silene serpentinicola,Synonym,Silene hookeri ssp. serpentinicola,,,,,14057,SILSER
Dicotyledons,Caryophyllaceae,Silene spaldingii,Accepted,Silene spaldingii,,native,Fully described,"vol2, pg575",3872,SILSPA
Dicotyledons,Caryophyllaceae,Silene suksdorfii,Accepted,Silene suksdorfii,,native,Fully described,"vol2, pg575",3874,SILSUK
Dicotyledons,Caryophyllaceae,Silene vulgaris,Accepted,Silene vulgaris,,naturalized,Fully described,"vol2, pg575",3817,SILVUL
Dicotyledons,Caryophyllaceae,Spergula arvensis,Accepted,Spergula arvensis,,naturalized,Fully described,"vol2, pg576",3920,SPEARV
Dicotyledons,Caryophyllaceae,Spergula arvensis ssp. arvensis,Synonym,Spergula arvensis,,,,,3920,SPEARVARV
Dicotyledons,Caryophyllaceae,Spergula arvensis var. arvensis,Synonym,Spergula arvensis,,,,,3920,SPEARVARV2
Dicotyledons,Caryophyllaceae,Spergula arvensis var. sativa,Synonym,Spergula arvensis,,,,,3920,SPEARVSAT
Dicotyledons,Caryophyllaceae,Spergularia bocconi,Accepted,Spergularia bocconi,,not naturalized,,,3923,SPEBOC2
Dicotyledons,Caryophyllaceae,Spergularia bocconii,Synonym,Spergularia bocconi,,,,,3923,SPEBOC
Dicotyledons,Caryophyllaceae,Spergularia canadensis,Accepted,Spergularia canadensis,Bare species,native,,,9736,SPECAN
Dicotyledons,Caryophyllaceae,Spergularia canadensis var. occidentalis,Accepted,Spergularia canadensis var. occidentalis,,native,Fully described,"vol2, pg577",3925,SPECANOCC
Dicotyledons,Caryophyllaceae,Spergularia diandra,Accepted,Spergularia diandra,,not naturalized,Fully described,"vol2, pg577",3928,SPEDIA
Dicotyledons,Caryophyllaceae,Spergularia macrotheca,Accepted,Spergularia macrotheca,Bare species,native,,,9737,SPEMAC
Dicotyledons,Caryophyllaceae,Spergularia macrotheca var. macrotheca,Accepted,Spergularia macrotheca var. macrotheca,,native,Fully described,"vol2, pg577",3938,SPEMACMAC
Dicotyledons,Caryophyllaceae,Spergularia marina,Accepted,Spergularia marina,,uncertain,Fully described,"vol2, pg577",3937,SPEMAR
Dicotyledons,Caryophyllaceae,Spergularia media,Accepted,Spergularia media,Bare species,not naturalized,,,14145,SPEMED
Dicotyledons,Caryophyllaceae,Spergularia media var. media,Accepted,Spergularia media var. media,,not naturalized,,,3939,SPEMEDMED
Dicotyledons,Caryophyllaceae,Spergularia rubra,Accepted,Spergularia rubra,,naturalized,Fully described,"vol2, pg577",3951,SPERUB
Dicotyledons,Caryophyllaceae,Spergularia salina,Synonym,Spergularia marina,,,,,3937,SPESAL
Dicotyledons,Caryophyllaceae,Spergularia salina var. salina,Synonym,Spergularia marina,,,,,3937,SPESALSAL
Dicotyledons,Caryophyllaceae,Spergularia villosa,Accepted,Spergularia villosa,,not naturalized,,,3954,SPEVIL
Dicotyledons,Caryophyllaceae,Stellaria aquatica,Synonym,Myosoton aquaticum,,,,,4767,STEAQU
Dicotyledons,Caryophyllaceae,Stellaria borealis,Accepted,Stellaria borealis,,native,Fully described,"vol2, pg579",9218,STEBOR
Dicotyledons,Caryophyllaceae,Stellaria borealis ssp. borealis,Accepted,Stellaria borealis ssp. borealis,,native,Fully described,"vol2, pg579",4002,STEBORBOR
Dicotyledons,Caryophyllaceae,Stellaria borealis ssp. sitchana,Accepted,Stellaria borealis ssp. sitchana,,native,Fully described,"vol2, pg579",3961,STEBORSIT
Dicotyledons,Caryophyllaceae,Stellaria borealis var. bongardiana,Synonym,Stellaria borealis ssp. borealis,,,,,4002,STEBORBON
Dicotyledons,Caryophyllaceae,Stellaria borealis var. simcoei,Synonym,Stellaria calycantha,,,,,3962,STEBORSIM
Dicotyledons,Caryophyllaceae,Stellaria borealis var. sitchana,Synonym,Stellaria borealis ssp. sitchana,,,,,3961,STEBORSIT2
Dicotyledons,Caryophyllaceae,Stellaria calycantha,Accepted,Stellaria calycantha,sensu stricto,native,Fully described,"vol2, pg579",3962,STECAL1
Dicotyledons,Caryophyllaceae,Stellaria calycantha,Synonym,Stellaria borealis,in part,,,,9218,STECAL7STEBOR
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. bongardiana,Synonym,Stellaria borealis ssp. sitchana,,,,,3961,STECALBON
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. calycantha,Synonym,Stellaria calycantha,,,,,3962,STECALCAL
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. floribunda,Synonym,Stellaria borealis ssp. borealis,,,,,4002,STECALFLO
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. simcoei,Synonym,Stellaria calycantha,,,,,3962,STECALSIM
Dicotyledons,Caryophyllaceae,Stellaria calycantha var. sitchana,Synonym,Stellaria borealis ssp. sitchana,,,,,3961,STECALSIT
Dicotyledons,Caryophyllaceae,Stellaria crispa,Accepted,Stellaria crispa,,native,Fully described,"vol2, pg580",3970,STECRI
Dicotyledons,Caryophyllaceae,Stellaria graminea,Accepted,Stellaria graminea,,naturalized,Fully described,"vol2, pg580",3975,STEGRA
Dicotyledons,Caryophyllaceae,Stellaria humifusa,Accepted,Stellaria humifusa,,native,Fully described,"vol2, pg580",3977,STEHUM
Dicotyledons,Caryophyllaceae,Stellaria jamesiana,Synonym,Pseudostellaria jamesiana,,,,,3978,STEJAM
Dicotyledons,Caryophyllaceae,Stellaria longifolia,Accepted,Stellaria longifolia,,native,Fully described,"vol2, pg580",3983,STELON
Dicotyledons,Caryophyllaceae,Stellaria longipes,Accepted,Stellaria longipes,Bare species,native,,,9219,STELON2
Dicotyledons,Caryophyllaceae,Stellaria longipes ssp. longipes,Accepted,Stellaria longipes ssp. longipes,,native,Fully described,"vol2, pg580",3986,STELONLON
Dicotyledons,Caryophyllaceae,Stellaria longipes var. altocaulis,Synonym,Stellaria longipes ssp. longipes,,,,,3986,STELONALT
Dicotyledons,Caryophyllaceae,Stellaria longipes var. laeta,Synonym,Stellaria longipes ssp. longipes,,,,,3986,STELONLAE
Dicotyledons,Caryophyllaceae,Stellaria longipes var. longipes,Synonym,Stellaria longipes ssp. longipes,,,,,3986,STELONLON2
Dicotyledons,Caryophyllaceae,Stellaria media,Accepted,Stellaria media,,naturalized,Fully described,"vol2, pg581",3988,STEMED
Dicotyledons,Caryophyllaceae,Stellaria nitens,Accepted,Stellaria nitens,,native,Fully described,"vol2, pg581",3989,STENIT
Dicotyledons,Caryophyllaceae,Stellaria obtusa,Accepted,Stellaria obtusa,,native,Fully described,"vol2, pg581",3990,STEOBT
Dicotyledons,Caryophyllaceae,Stellaria simcoei,Synonym,Stellaria calycantha,,,,,3962,STESIM
Dicotyledons,Caryophyllaceae,Stellaria umbellata,Accepted,Stellaria umbellata,,native,Fully described,"vol2, pg581",4007,STEUMB
Dicotyledons,Caryophyllaceae,Vaccaria hispanica,Accepted,Vaccaria hispanica,,naturalized,Fully described,"vol2, pg581",4255,VACHIS
Dicotyledons,Caryophyllaceae,Vaccaria segetalis,Synonym,Vaccaria hispanica,,,,,4255,VACSEG
Dicotyledons,Caryophyllaceae,Vaccaria vulgaris,Synonym,Vaccaria hispanica,,,,,4255,VACVUL
Dicotyledons,Celastraceae,Euonymus europaeus,Accepted,Euonymus europaeus,,not naturalized,,,12978,EUOEUR
Dicotyledons,Celastraceae,Euonymus fortunei,Accepted,Euonymus fortunei,,not naturalized,,,13119,EUOFOR
Dicotyledons,Celastraceae,Euonymus occidentalis,Accepted,Euonymus occidentalis,,native,Fully described,"vol2, pg582",1788,EUOOCC
Dicotyledons,Celastraceae,Euonymus occidentalis var. occidentalis,Synonym,Euonymus occidentalis,,,,,1788,EUOOCCOCC
Dicotyledons,Celastraceae,Pachistima myrsinites,Synonym,Paxistima myrsinites,orthographic variant,,,,2908,PACMYR2
Dicotyledons,Celastraceae,Pachystima myrsinites,Synonym,Paxistima myrsinites,orthographic variant,,,,2908,PACMYR
Dicotyledons,Celastraceae,Paxistima myrsinites,Accepted,Paxistima myrsinites,,native,Fully described,"vol2, pg583",2908,PAXMYR
Dicotyledons,Ceratophyllaceae,Ceratophyllum demersum,Accepted,Ceratophyllum demersum,,native,Fully described,"vol2, pg583",1015,CERDEM
Dicotyledons,Ceratophyllaceae,Ceratophyllum echinatum,Accepted,Ceratophyllum echinatum,,native,Fully described,"vol2, pg583",1018,CERECH
Dicotyledons,Cleomaceae,Cleome lutea,Synonym,Peritoma lutea,,,,,1163,CLELUT
Dicotyledons,Cleomaceae,Cleome platycarpa,Synonym,Peritoma platycarpa,,,,,1168,CLEPLA
Dicotyledons,Cleomaceae,Cleome serrulata,Synonym,Peritoma serrulata,,,,,1178,CLESER
Dicotyledons,Cleomaceae,Cleomella hillmanii,Accepted,Cleomella hillmanii,Bare species,native,,,14045,CLEHIL
Dicotyledons,Cleomaceae,Cleomella hillmanii var. hillmanii,Accepted,Cleomella hillmanii var. hillmanii,,native,Fully described,"vol2, pg584",1159,CLEHILHIL
Dicotyledons,Cleomaceae,Cleomella macbrideana,Synonym,Cleomella hillmanii var. hillmanii,,,,,1159,CLEMAC
Dicotyledons,Cleomaceae,Cleomella plocasperma,Accepted,Cleomella plocasperma,,native,Fully described,"vol2, pg584",1169,CLEPLO
Dicotyledons,Cleomaceae,Peritoma lutea,Accepted,Peritoma lutea,,native,Fully described,"vol2, pg585",1163,PERLUT
Dicotyledons,Cleomaceae,Peritoma platycarpa,Accepted,Peritoma platycarpa,,native,Fully described,"vol2, pg585",1168,PERPLA
Dicotyledons,Cleomaceae,Peritoma serrulata,Accepted,Peritoma serrulata,,native,Fully described,"vol2, pg585",1178,PERSER
Dicotyledons,Cleomaceae,Polanisia dodecandra,Accepted,Polanisia dodecandra,,native,Fully described,"vol2, pg586",9192,POLDOD
Dicotyledons,Cleomaceae,Polanisia dodecandra ssp. dodecandra,Accepted,Polanisia dodecandra ssp. dodecandra,,native,Fully described,"vol2, pg586",14026,POLDODDOD
Dicotyledons,Cleomaceae,Polanisia dodecandra ssp. trachysperma,Accepted,Polanisia dodecandra ssp. trachysperma,,native,Fully described,"vol2, pg586",3362,POLDODTRA
Dicotyledons,Cleomaceae,Polanisia trachysperma,Synonym,Polanisia dodecandra ssp. trachysperma,,,,,3362,POLTRA
Dicotyledons,Comandraceae,Comandra californica,Synonym,Comandra umbellata,,,,,1251,COMCAL
Dicotyledons,Comandraceae,Comandra pallida,Synonym,Comandra umbellata,,,,,1251,COMPAL2
Dicotyledons,Comandraceae,Comandra umbellata,Accepted,Comandra umbellata,,native,Fully described,"vol2, pg587",1251,COMUMB
Dicotyledons,Comandraceae,Comandra umbellata ssp. californica,Synonym,Comandra umbellata,,,,,1251,COMUMBCAL2
Dicotyledons,Comandraceae,Comandra umbellata ssp. pallida,Synonym,Comandra umbellata,,,,,1251,COMUMBPAL2
Dicotyledons,Comandraceae,Comandra umbellata var. californica,Synonym,Comandra umbellata,,,,,1251,COMUMBCAL
Dicotyledons,Comandraceae,Comandra umbellata var. pallida,Synonym,Comandra umbellata,,,,,1251,COMUMBPAL
Dicotyledons,Convolvulaceae,Calystegia atriplicifolia,Accepted,Calystegia atriplicifolia,Bare species,native,,,9227,CALATR
Dicotyledons,Convolvulaceae,Calystegia atriplicifolia ssp. atriplicifolia,Accepted,Calystegia atriplicifolia ssp. atriplicifolia,,native,Fully described,"vol2, pg588",1225,CALATRATR
Dicotyledons,Convolvulaceae,Calystegia occidentalis,Accepted,Calystegia occidentalis,Bare species,native,,,9228,CALOCC
Dicotyledons,Convolvulaceae,Calystegia occidentalis ssp. occidentalis,Accepted,Calystegia occidentalis ssp. occidentalis,,native,Fully described,"vol2, pg588",1233,CALOCCOCC
Dicotyledons,Convolvulaceae,Calystegia polymorpha,Synonym,Calystegia occidentalis ssp. occidentalis,,,,,1233,CALPOL
Dicotyledons,Convolvulaceae,Calystegia sepium,Accepted,Calystegia sepium,Bare species,not naturalized,,,9967,CALSEP
Dicotyledons,Convolvulaceae,Calystegia sepium ssp. angulata,Accepted,Calystegia sepium ssp. angulata,,native,Fully described,"vol2, pg588",4541,CALSEPANG
